x,y
581.28076,0.34096819
581.4176,0.34845507
581.55444,0.3530651
581.69128,0.3560372
581.82813,0.35951805
581.96497,0.36468866
582.10181,0.3589842
582.23865,0.35327953
582.37549,0.34780541
582.51233,0.34635949
582.64917,0.34428027
582.78601,0.34192196
582.92285,0.33770749
583.05963,0.32551295
583.19647,0.31332001
583.33331,0.29986078
583.47015,0.29261473
583.60699,0.28759736
583.74384,0.28258121
583.88068,0.27690735
584.01752,0.269537
584.15436,0.26176414
584.2912,0.25512263
584.42804,0.24951552
584.56488,0.24093324
584.70172,0.23235214
584.83856,0.22233529
584.97534,0.21475375
585.11218,0.20882061
585.24902,0.20267323
585.38586,0.19451492
585.52271,0.19484261
585.65955,0.1951701
585.79639,0.19540322
585.93323,0.19149897
586.07007,0.18697679
586.20691,0.18245366
586.34375,0.17824684
586.48059,0.1704123
586.61743,0.16246875
586.75421,0.15490308
586.89105,0.14671506
587.02789,0.1381357
587.16473,0.12955469
587.30157,0.12034668
587.43842,0.11302228
587.57526,0.10603646
587.7121,0.099290952
587.84894,0.094225451
587.98578,0.087916628
588.12262,0.081606865
588.25946,0.076079138
588.3963,0.073810555
588.53314,0.071787857
588.66992,0.070150003
588.80676,0.069699012
588.9436,0.068103693
589.08044,0.066505343
589.21729,0.065294407
589.35413,0.068756536
589.49097,0.073759228
589.62781,0.078760996
589.76465,0.085110903
589.90149,0.094968855
590.03833,0.10491721
590.17517,0.11516026
590.31201,0.12444092
590.44885,0.13268602
590.58563,0.14093181
590.72247,0.14787337
590.85931,0.15133221
590.99615,0.15402599
591.133,0.15718874
591.26984,0.15652224
591.40668,0.15426524
591.54352,0.15200587
591.68036,0.1495169
591.8172,0.14678298
591.95404,0.14349593
592.09088,0.14062278
592.22772,0.13428503
592.3645,0.13295244
592.50134,0.13162217
592.63818,0.13019893
592.77502,0.12783562
592.91187,0.12723108
593.04871,0.12662631
593.18555,0.12630925
593.32239,0.12686971
593.45923,0.12767953
593.59607,0.12790623
593.73291,0.1247534
593.86975,0.12061867
594.00659,0.11648301
594.14343,0.11331829
594.28021,0.11243338
594.41705,0.11284409
594.55389,0.11314997
594.69073,0.11238541
594.82758,0.11424973
594.96442,0.1161152
595.10126,0.11780053
595.2381,0.11670034
595.37494,0.11588226
595.51178,0.11506394
595.64862,0.11956287
595.78546,0.11830063
595.9223,0.11697261
596.05914,0.11399547
596.19592,0.10941339
596.33276,0.10441388
596.4696,0.099414825
596.60645,0.094347909
596.74329,0.088980936
596.88013,0.083694585
597.01697,0.077993855
597.15381,0.070672594
597.29065,0.060446564
597.42749,0.050220281
597.56433,0.042104859
597.70117,0.037385926
